tag_number_masked,date_of_infraction,infraction_code,infraction_description,set_fine_amount,time_of_infraction,location1,location2,location3,location4,province
***64704,20240118,9,STOP-SIGNED HWY-PROHIBIT TM/DY,100,1257,OPP,113 BOND ST,,,ON
***88805,20240118,207,PARK MACHINE-REQD FEE NOT PAID,30,1257,N/S,HOLLYWOOD AVE,W/O,DORIS AVE,ON
***23412,20240118,3,PARK ON PRIVATE PROPERTY,75,1258,,390 DIXON RD,,,ON
***69320,20240118,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,1258,NR,547 YONGE ST,,,ON
***25416,20240118,2,PARK - LONGER THAN 3 HOURS,30,1258,OPP,25 NORBROOK CRES,,,ON
***25570,20240118,15,PARK-WITHIN 3M OF FIRE HYDRANT,100,1258,W/S,LA PLANTE AVE,S/O,HAYTER ST,ON
***52779,20240118,367,STND ONSTRT ACCESSIBLE NO PRMT,450,1258,NR,22 MC CAUL ST,,,ON
***68017,20240118,134,PARK-SIGNED HWY-PUBLIC LANE,40,1258,R/O,564 SENTINEL RD,,,ON
***70698,20240118,207,PARK MACHINE-REQD FEE NOT PAID,30,1258,NR,564 PARLIAMENT ST,,,ON
***70701,20240118,2,PARK - LONGER THAN 3 HOURS,30,1259,OPP,155 TUPPER AVE,,,ON
***70702,20240118,2,PARK - LONGER THAN 3 HOURS,30,1259,OPP,155 TUPPER AVE,,,ON
***12821,20240118,3,PARK ON PRIVATE PROPERTY,75,1259,AT,57 SPADINA AVE,,,ON
***25417,20240118,2,PARK - LONGER THAN 3 HOURS,30,1259,OPP,25 NORBROOK CRES,,,QC
***28012,20240118,9,STOP-SIGNED HWY-PROHIBIT TM/DY,100,1259,NR,74 WELLESLEY ST W,,,ON
***10204,20240118,3,PARK ON PRIVATE PROPERTY,75,1300,,4915 BATHURST ST,,,ON
***25571,20240118,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,1300,E/S,LA PLANTE AVE,S/O,HAYTER ST,ON
***29992,20240118,2,PARK - LONGER THAN 3 HOURS,30,1300,OPP,19 NORBROOK CRES,,,ON
***52571,20240118,415,PARK COMMERC LOAD ZONE NOT LDG,40,1300,NR,108 CUMBERLAND ST,,,ON
***52627,20240118,9,STOP-SIGNED HWY-PROHIBIT TM/DY,100,1300,NR,136 AVENUE RD,,,ON
***71130,20240118,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,1300,NR,112 OSSINGTON AVE,,,ON
***86583,20240118,2,PARK - LONGER THAN 3 HOURS,30,1301,NR,71 MELFORD DR,,,ON
***19790,20240118,2,PARK - LONGER THAN 3 HOURS,30,1301,NR,161 FULTON AVE,,,ON
***29993,20240118,2,PARK - LONGER THAN 3 HOURS,30,1301,NR,18 NORBROOK CRES,,,ON
***30596,20240118,9,STOP-SIGNED HWY-PROHIBIT TM/DY,100,1301,N/S,EGLINTON AVE E,E/O,REDPATH AVE,ON
***64705,20240118,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,1301,S/S,GOULD ST,W/O,MUTUAL ST,ON
***65669,20240118,9,STOP-SIGNED HWY-PROHIBIT TM/DY,100,1301,NR,33 ERSKINE AVE,,,ON
***70699,20240118,207,PARK MACHINE-REQD FEE NOT PAID,30,1301,NR,580 PARLIAMENT ST,,,ON
***50263,20240118,6,PARK-SIGNED HWY-EXC PERMT TIME,40,1302,NR,320 BLEECKER ST,,,ON
***44507,20240118,3,PARK ON PRIVATE PROPERTY,75,1302,AT,2863 ELLESMERE RD,,,ON
***70703,20240118,2,PARK - LONGER THAN 3 HOURS,30,1302,OPP,155 TUPPER AVE,,,ON
***34558,20240118,207,PARK MACHINE-REQD FEE NOT PAID,30,1302,NR,256 KING ST E,,,ON
***39593,20240118,8,STAND VEH.-PROHIBIT TIME/DAY,100,1302,NR,66 THE ESPLANADE,,,ON
***71131,20240118,207,PARK MACHINE-REQD FEE NOT PAID,30,1302,NR,94 OSSINGTON AVE,,,ON
***70704,20240118,2,PARK - LONGER THAN 3 HOURS,30,1303,OPP,155 TUPPER AVE,,,ON
***97505,20240118,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,1303,OPP,200 CHURCH ST,,,ON
***19791,20240118,2,PARK - LONGER THAN 3 HOURS,30,1303,NR,177 FULTON AVE,,,ON
***88806,20240118,207,PARK MACHINE-REQD FEE NOT PAID,30,1303,NR,19 SPRING GARDEN AVE,,,ON
***04610,20240118,3,PARK ON PRIVATE PROPERTY,75,1304,,4700 KEELE ST,,,ON
***53688,20240118,3,PARK ON PRIVATE PROPERTY,75,1304,,88 COLLEGE ST,,,ON
***86050,20240118,4,PARK ON MUNICIPAL PROPERTY,75,1304,AT,31 A PARLIAMENT STREET,,,ON
***69321,20240118,9,STOP-SIGNED HWY-PROHIBIT TM/DY,100,1304,OPP,11 HOMEWOOD AVE,,,ON
***70705,20240118,2,PARK - LONGER THAN 3 HOURS,30,1304,OPP,155 TUPPER AVE,,,ON
***19792,20240118,2,PARK - LONGER THAN 3 HOURS,30,1304,NR,182 FULTON AVE,,,ON
***30597,20240118,9,STOP-SIGNED HWY-PROHIBIT TM/DY,100,1304,NR,17 BROADWAY AVE,,,ON
***34063,20240118,383,STOP NON-BICYCLE IN CYCLE TRCK,150,1304,NR,121 LOWER SHERBOURNE ST,,,ON
***52572,20240118,415,PARK COMMERC LOAD ZONE NOT LDG,40,1304,NR,132 CUMBERLAND ST,,,ON
***52780,20240118,9,STOP-SIGNED HWY-PROHIBIT TM/DY,100,1304,OPP,50 STEPHANIE ST,,,ON
***70700,20240118,207,PARK MACHINE-REQD FEE NOT PAID,30,1304,NR,601 PARLIAMENT ST,,,ON
***10205,20240118,3,PARK ON PRIVATE PROPERTY,75,1305,,4915 BATHURST ST,,,ON
***81685,20240118,4,PARK ON MUNICIPAL PROPERTY,75,1305,AT,31 A PARLIAMENT STREET,,,ON
***50264,20240118,6,PARK-SIGNED HWY-EXC PERMT TIME,40,1305,NR,328 BLEECKER ST,,,ON
***42303,20240118,134,PARK-SIGNED HWY-PUBLIC LANE,40,1305,W/S,MACY DUBOIS LANE,S/O,CHARLES ST E,ON
***70706,20240118,2,PARK - LONGER THAN 3 HOURS,30,1305,OPP,155 TUPPER AVE,,,ON
***30598,20240118,15,PARK-WITHIN 3M OF FIRE HYDRANT,100,1305,NR,17 BROADWAY AVE,,,ON
***58492,20240118,207,PARK MACHINE-REQD FEE NOT PAID,30,1305,NR,236 DAVENPORT RD,,,ON
***65670,20240118,9,STOP-SIGNED HWY-PROHIBIT TM/DY,100,1305,NR,33 ERSKINE AVE,,,ON
***71132,20240118,207,PARK MACHINE-REQD FEE NOT PAID,30,1305,NR,64 OSSINGTON AVE,,,ON
***88807,20240118,207,PARK MACHINE-REQD FEE NOT PAID,30,1305,NR,13 SPRING GARDEN AVE,,,ON
***81686,20240118,4,PARK ON MUNICIPAL PROPERTY,75,1306,AT,31 A PARLIAMENT STREET,,,ON
***86051,20240118,4,PARK ON MUNICIPAL PROPERTY,75,1306,AT,31 A PARLIAMENT STREET,,,ON
***41562,20240118,6,PARK-SIGNED HWY-EXC PERMT TIME,40,1306,NR,25 WHITE AVE,,,ON
***42304,20240118,134,PARK-SIGNED HWY-PUBLIC LANE,40,1306,W/S,MACY DUBOIS LANE,S/O,CHARLES ST E,ON
***70707,20240118,2,PARK - LONGER THAN 3 HOURS,30,1306,OPP,155 TUPPER AVE,,,ON
***03012,20240118,207,PARK MACHINE-REQD FEE NOT PAID,30,1306,NR,625 QUEEN ST W,,,ON
***19793,20240118,2,PARK - LONGER THAN 3 HOURS,30,1306,NR,197 FULTON AVE,,,ON
***28109,20240118,8,STAND VEH.-PROHIBIT TIME/DAY,100,1306,NR,178 JARVIS ST,,,ON
***28607,20240118,207,PARK MACHINE-REQD FEE NOT PAID,30,1306,E/S,THIRD ST,N/O,LAKE SHORE BLVD W,ON
***52781,20240118,9,STOP-SIGNED HWY-PROHIBIT TM/DY,100,1306,OPP,50 STEPHANIE ST,,,ON
***88808,20240118,207,PARK MACHINE-REQD FEE NOT PAID,30,1306,NR,11 SPRING GARDEN AVE,,,BC
***07923,20240118,3,PARK ON PRIVATE PROPERTY,75,1307,,1290 FINCH AVE W,,,ON
***18825,20240118,3,PARK ON PRIVATE PROPERTY,75,1307,,31 SAULTER ST,,,ON
***35835,20240118,3,PARK ON PRIVATE PROPERTY,75,1307,,101 EGLINTON AVE E,,,ON
***92191,20240118,3,PARK ON PRIVATE PROPERTY,75,1307,,4700  KEELE ST,,,ON
***41563,20240118,6,PARK-SIGNED HWY-EXC PERMT TIME,40,1307,NR,13 WHITE AVE,,,ON
***70708,20240118,2,PARK - LONGER THAN 3 HOURS,30,1307,OPP,155 TUPPER AVE,,,ON
***19794,20240118,2,PARK - LONGER THAN 3 HOURS,30,1307,NR,199 FULTON AVE,,,ON
***28608,20240118,207,PARK MACHINE-REQD FEE NOT PAID,30,1307,E/S,THIRD ST,N/O,LAKE SHORE BLVD W,ON
***34064,20240118,3,PARK ON PRIVATE PROPERTY,75,1307,AT,121 LOWER SHERBOURNE ST,,,ON
***58493,20240118,347,PARK IN A FIRE ROUTE,250,1307,AT,250 DAVENPORT RD,,,ON
***71133,20240118,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,1307,NR,59 OSSINGTON AVE,,,ON
***71837,20240118,207,PARK MACHINE-REQD FEE NOT PAID,30,1307,NR,892 BATHURST ST,,,ON
***35834,20240118,3,PARK ON PRIVATE PROPERTY,75,1308,,101 EGLINTON AVE E,,,ON
***41564,20240118,6,PARK-SIGNED HWY-EXC PERMT TIME,40,1308,NR,11 WHITE AVE,,,ON
***70709,20240118,2,PARK - LONGER THAN 3 HOURS,30,1308,OPP,155 TUPPER AVE,,,ON
***71638,20240118,3,PARK ON PRIVATE PROPERTY,75,1308,AT,750 YORK MILLS RD,,,ON
***28110,20240118,207,PARK MACHINE-REQD FEE NOT PAID,30,1308,NR,160 JARVIS ST,,,ON
***34065,20240118,3,PARK ON PRIVATE PROPERTY,75,1308,AT,121 LOWER SHERBOURNE ST,,,ON
***52782,20240118,9,STOP-SIGNED HWY-PROHIBIT TM/DY,100,1308,OPP,50 STEPHANIE ST,,,ON
***58494,20240118,347,PARK IN A FIRE ROUTE,250,1308,AT,250 DAVENPORT RD,,,ON
***65671,20240118,207,PARK MACHINE-REQD FEE NOT PAID,30,1308,NR,2439 YONGE ST,,,ON
***88809,20240118,207,PARK MACHINE-REQD FEE NOT PAID,30,1308,NR,4901 YONGE ST,,,ON
***35836,20240118,3,PARK ON PRIVATE PROPERTY,75,1309,,101 EGLINTON AVE E,,,ON
***86052,20240118,4,PARK ON MUNICIPAL PROPERTY,75,1309,AT,31 A PARLIAMENT STREET,,,ON
***38433,20240118,9,STOP-SIGNED HWY-PROHIBIT TM/DY,100,1309,NR,679 ST CLAIR AVE W,,,ON
***71639,20240118,3,PARK ON PRIVATE PROPERTY,75,1309,AT,750 YORK MILLS RD,,,ON
***71640,20240118,3,PARK ON PRIVATE PROPERTY,75,1309,AT,750 YORK MILLS RD,,,ON
***03013,20240118,207,PARK MACHINE-REQD FEE NOT PAID,30,1309,NR,639 QUEEN ST W,,,ON
***28609,20240118,207,PARK MACHINE-REQD FEE NOT PAID,30,1309,W/S,THIRD ST,N/O,LAKE SHORE BLVD W,ON
***34066,20240118,3,PARK ON PRIVATE PROPERTY,75,1309,AT,121 LOWER SHERBOURNE ST,,,ON
***52573,20240118,415,PARK COMMERC LOAD ZONE NOT LDG,40,1309,NR,104 CUMBERLAND ST,,,ON
***58495,20240118,347,PARK IN A FIRE ROUTE,250,1309,AT,250 DAVENPORT RD,,,ON
***71134,20240118,207,PARK MACHINE-REQD FEE NOT PAID,30,1309,NR,42 OSSINGTON AVE,,,ON
***71838,20240118,207,PARK MACHINE-REQD FEE NOT PAID,30,1309,NR,786 BATHURST ST,,,ON
***07924,20240118,3,PARK ON PRIVATE PROPERTY,75,1310,,1290 FINCH AVE W,,,ON
***13184,20240118,3,PARK ON PRIVATE PROPERTY,75,1310,,292 GRANDRAVINE DR,,,ON
***85200,20240118,312,PARKING MACH-NOT USED/NO FEE,75,1310,AT,1141 EASTERN AVE.,,,ON
***50265,20240118,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,1310,NR,10 DUNDONALD ST,,,ON
***86584,20240118,2,PARK - LONGER THAN 3 HOURS,30,1310,NR,64 GLANVIL CRES,,,QC
***38434,20240118,9,STOP-SIGNED HWY-PROHIBIT TM/DY,100,1310,NR,677 ST CLAIR AVE W,,,ON
***71641,20240118,3,PARK ON PRIVATE PROPERTY,75,1310,AT,750 YORK MILLS RD,,,ON
***71642,20240118,3,PARK ON PRIVATE PROPERTY,75,1310,AT,750 YORK MILLS RD,,,ON
***03014,20240118,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,1310,NR,639 QUEEN ST W,,,ON
***25572,20240118,8,STAND VEH.-PROHIBIT TIME/DAY,100,1310,E/S,LA PLANTE AVE,S/O,COLLEGE ST,ON
***34559,20240118,207,PARK MACHINE-REQD FEE NOT PAID,30,1310,OPP,219 FRONT ST E,,,ON
***64706,20240118,9,STOP-SIGNED HWY-PROHIBIT TM/DY,100,1310,OPP,32 EDWARD ST,,,ON
***65672,20240118,207,PARK MACHINE-REQD FEE NOT PAID,30,1310,NR,2425 YONGE ST,,,ON
***88810,20240118,207,PARK MACHINE-REQD FEE NOT PAID,30,1310,NR,4893 YONGE ST,,,ON
***18826,20240118,3,PARK ON PRIVATE PROPERTY,75,1311,31,SAULTER ST,,,ON
***35837,20240118,3,PARK ON PRIVATE PROPERTY,75,1311,,101 EGLINTON AVE E,,,ON
***81687,20240118,4,PARK ON MUNICIPAL PROPERTY,75,1311,AT,31 A PARLIAMENT STREET,,,ON
***95286,20240118,9,STOP-SIGNED HWY-PROHIBIT TM/DY,100,1311,NR,136 STRATFORD CRES,,,ON
***30599,20240118,3,PARK ON PRIVATE PROPERTY,75,1311,AT,8 EGLINTON AVE E,,,ON
***34067,20240118,3,PARK ON PRIVATE PROPERTY,75,1311,AT,121 LOWER SHERBOURNE ST,,,ON
***64707,20240118,9,STOP-SIGNED HWY-PROHIBIT TM/DY,100,1311,OPP,32 EDWARD ST,,,ON
***70701,20240118,8,STAND VEH.-PROHIBIT TIME/DAY,100,1311,NR,535 PARLIAMENT ST,,,ON
***04611,20240118,3,PARK ON PRIVATE PROPERTY,75,1312,,4700 KEELE ST,,,ON
***07877,20240118,3,PARK ON PRIVATE PROPERTY,75,1312,,1290 FINCH AVE W,,,ON
***81688,20240118,4,PARK ON MUNICIPAL PROPERTY,75,1312,AT,31 A PARLIAMENT STREET,,,ON
***30600,20240118,3,PARK ON PRIVATE PROPERTY,75,1312,AT,8 EGLINTON AVE E,,,ON
***39594,20240118,134,PARK-SIGNED HWY-PUBLIC LANE,40,1312,W/S,FARQUHARS LANE,N/O,THE ESPLANADE,ON
***52472,20240118,8,STAND VEH.-PROHIBIT TIME/DAY,100,1312,S/S,ALCORN AVE,W/O,YONGE ST,ON
***52574,20240118,415,PARK COMMERC LOAD ZONE NOT LDG,40,1312,NR,24 BELLAIR ST,,,ON
***64708,20240118,9,STOP-SIGNED HWY-PROHIBIT TM/DY,100,1312,OPP,18 EDWARD ST,,,ON
***67547,20240118,49,FAIL TO PARK/STOP PARALL. RGHT,30,1312,OPP,5 VANLEY CRES,,,ON
***71839,20240118,29,PARK PROHIBITED TIME NO PERMIT,30,1312,NR,14 LONDON ST,,,ON
***11041,20240118,3,PARK ON PRIVATE PROPERTY,75,1313,,20 GRAYDON HALL DR,,,ON
***35838,20240118,3,PARK ON PRIVATE PROPERTY,75,1313,,101 EGLINTON AVE E,,,ON
***86053,20240118,4,PARK ON MUNICIPAL PROPERTY,75,1313,AT,31 A PARLIAMENT STREET,,,ON
***97506,20240118,207,PARK MACHINE-REQD FEE NOT PAID,30,1313,NR,167 CHURCH ST,,,ON
***03015,20240118,207,PARK MACHINE-REQD FEE NOT PAID,30,1313,NR,536 QUEEN ST W,,,QC
***52783,20240118,15,PARK-WITHIN 3M OF FIRE HYDRANT,100,1313,OPP,387 QUEEN ST W,,,ON
***67548,20240118,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,1313,OPP,5 VANLEY CRES,,,ON
***70702,20240118,207,PARK MACHINE-REQD FEE NOT PAID,30,1313,NR,529 PARLIAMENT ST,,,AZ
***88811,20240118,8,STAND VEH.-PROHIBIT TIME/DAY,100,1313,NR,4900 YONGE ST,,,ON
***07878,20240118,3,PARK ON PRIVATE PROPERTY,75,1314,,1290 FINCH AVE W,,,ON
***38435,20240118,9,STOP-SIGNED HWY-PROHIBIT TM/DY,100,1314,NR,523 ST CLAIR AVE W,,,ON
***41565,20240118,9,STOP-SIGNED HWY-PROHIBIT TM/DY,100,1314,OPP,200 WOOLNER AVE,,,ON
***25573,20240118,9,STOP-SIGNED HWY-PROHIBIT TM/DY,100,1314,S/S,WALTON ST,E/O,BAY ST,ON
***34560,20240118,207,PARK MACHINE-REQD FEE NOT PAID,30,1314,OPP,227 FRONT ST E,,,ON
***64709,20240118,9,STOP-SIGNED HWY-PROHIBIT TM/DY,100,1314,NR,18 EDWARD ST,,,ON
***65673,20240118,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,1314,NR,2425 YONGE ST,,,ON
***67549,20240118,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,1314,NR,5 VANLEY CRES,,,ON
***71840,20240118,29,PARK PROHIBITED TIME NO PERMIT,30,1314,NR,12 LONDON ST,,,ON
***85539,20240118,312,PARKING MACH-NOT USED/NO FEE,75,1315,AT,2760 OLD LESLIE STREET,,,ON
***38436,20240118,9,STOP-SIGNED HWY-PROHIBIT TM/DY,100,1315,NR,523 ST CLAIR AVE W,,,ON
***52473,20240118,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,1315,S/S,SHAFTESBURY AVE,E/O,YONGE ST,ON
***52575,20240118,415,PARK COMMERC LOAD ZONE NOT LDG,40,1315,NR,118 CUMBERLAND ST,,,ON
***67550,20240118,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,1315,NR,5 VANLEY CRES,,,ON
***04926,20240118,3,PARK ON PRIVATE PROPERTY,75,1316,,4700 KEELE ST,,,ON
***07879,20240118,3,PARK ON PRIVATE PROPERTY,75,1316,,1290 FINCH AVE W,,,ON
***81689,20240118,4,PARK ON MUNICIPAL PROPERTY,75,1316,AT,31 A PARLIAMENT STREET,,,ON
***33964,20240118,30,STOP-(ON/OVER) (SIDEWK/FTPATH),150,1316,NR,375 BRUNSWICK AVE,,,ON
***67551,20240118,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,1316,NR,5 VANLEY CRES,,,ON
***70703,20240118,207,PARK MACHINE-REQD FEE NOT PAID,30,1316,NR,517 PARLIAMENT ST,,,AZ
***04612,20240118,3,PARK ON PRIVATE PROPERTY,75,1317,,4700 KEELE ST,,,ON
***07880,20240118,3,PARK ON PRIVATE PROPERTY,75,1317,,1290 FINCH AVE W,,,ON
***35839,20240118,3,PARK ON PRIVATE PROPERTY,75,1317,,101 EGLINTON AVE E,,,ON
***92192,20240118,3,PARK ON PRIVATE PROPERTY,75,1317,,4700 KEELE ST,,,ON
***28610,20240118,207,PARK MACHINE-REQD FEE NOT PAID,30,1317,E/S,FIRST ST,S/O,LAKE SHORE BLVD W,ON
***34561,20240118,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,1317,NR,236 FRONT ST E,,,ON
***63180,20240118,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,1317,AT,179 DOVERCOURT RD,,,ON
***64710,20240118,9,STOP-SIGNED HWY-PROHIBIT TM/DY,100,1317,NR,18 EDWARD ST,,,ON
***77082,20240118,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,1317,NR,5 VANLEY CRES,,,ON
***77083,20240118,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,1317,NR,5 VANLEY CRES,,,ON
***84878,20240118,207,PARK MACHINE-REQD FEE NOT PAID,30,1317,OPP,112 HADDINGTON AVE,,,ON
***86054,20240118,4,PARK ON MUNICIPAL PROPERTY,75,1318,AT,31 A PARLIAMENT STREET,,,ON
***82948,20240118,3,PARK ON PRIVATE PROPERTY,75,1318,AT,585 QUEEN ST W,,,ON
***28111,20240118,207,PARK MACHINE-REQD FEE NOT PAID,30,1318,NR,232 QUEEN ST E,,,ON
***59018,20240118,207,PARK MACHINE-REQD FEE NOT PAID,30,1318,NR,370 EGLINTON AVE W,,,ON
***63181,20240118,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,1318,NR,180 DOVERCOURT RD,,,ON
***88812,20240118,207,PARK MACHINE-REQD FEE NOT PAID,30,1318,N/S,ELMHURST AVE,W/O,YONGE ST,ON
***86055,20240118,4,PARK ON MUNICIPAL PROPERTY,75,1319,AT,31 A PARLIAMENT STREET,,,ON
***58496,20240118,9,STOP-SIGNED HWY-PROHIBIT TM/DY,100,1319,NR,126 AVENUE RD,,,ON
***63182,20240118,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,1319,NR,176 DOVERCOURT RD,,,ON
***64711,20240118,9,STOP-SIGNED HWY-PROHIBIT TM/DY,100,1319,NR,28 EDWARD ST,,,ON
***65674,20240118,207,PARK MACHINE-REQD FEE NOT PAID,30,1319,NR,2345 YONGE ST,,,ON
***70704,20240118,9,STOP-SIGNED HWY-PROHIBIT TM/DY,100,1319,NR,493 PARLIAMENT ST,,,ON
***81690,20240118,4,PARK ON MUNICIPAL PROPERTY,75,1320,AT,31 A PARLIAMENT STREET,,,ON
***86056,20240118,4,PARK ON MUNICIPAL PROPERTY,75,1320,AT,31 A PARLIAMENT STREET,,,ON
***50266,20240118,207,PARK MACHINE-REQD FEE NOT PAID,30,1320,OPP,28 TED ROGERS WAY,,,ON
***09540,20240118,2,PARK - LONGER THAN 3 HOURS,30,1320,OPP,3 RUMNEY RD,,,ON
***42305,20240118,3,PARK ON PRIVATE PROPERTY,75,1320,AT,50 WELLESLEY ST E,,,ON
***03016,20240118,207,PARK MACHINE-REQD FEE NOT PAID,30,1320,NR,438 QUEEN ST W,,,ON
***28112,20240118,207,PARK MACHINE-REQD FEE NOT PAID,30,1320,OPP,252 QUEEN ST E,,,ON
***52784,20240118,134,PARK-SIGNED HWY-PUBLIC LANE,40,1320,R/O,423 QUEEN ST W,,,ON
***04214,20240118,3,PARK ON PRIVATE PROPERTY,75,1321,,4700 KEELE ST,,,ON
***85540,20240118,312,PARKING MACH-NOT USED/NO FEE,75,1321,AT,2760 OLD LESLIE STREET,,,ON
***86262,20240118,4,PARK ON MUNICIPAL PROPERTY,75,1321,AT,31 A PARLIAMENT STREET,,,ON
***15397,20240118,3,PARK ON PRIVATE PROPERTY,75,1321,AT,1401 DUPONT ST,,,ON
***28113,20240118,207,PARK MACHINE-REQD FEE NOT PAID,30,1321,OPP,252 QUEEN ST E,,,ON
***55613,20240118,207,PARK MACHINE-REQD FEE NOT PAID,30,1321,NR,933 KINGSTON RD,,,ON
***88813,20240118,207,PARK MACHINE-REQD FEE NOT PAID,30,1321,N/S,ELMHURST AVE,E/O,BEECROFT RD,ON
***81691,20240118,4,PARK ON MUNICIPAL PROPERTY,75,1322,AT,31 A PARLIAMENT STREET,,,ON
***86263,20240118,4,PARK ON MUNICIPAL PROPERTY,75,1322,AT,31 A PARLIAMENT STREET,,,QC
***69322,20240118,383,STOP NON-BICYCLE IN CYCLE TRCK,150,1322,OPP,253 WELLESLEY ST E,,,ON
***09541,20240118,2,PARK - LONGER THAN 3 HOURS,30,1322,OPP,3 RUMNEY RD,,,ON
***42306,20240118,355,PARK IN ACCESSIBLE NO PERMIT,450,1322,AT,50 WELLESLEY ST E,,,ON
***25574,20240118,3,PARK ON PRIVATE PROPERTY,75,1322,AT,633 BAY ST,,,ON
***58497,20240118,9,STOP-SIGNED HWY-PROHIBIT TM/DY,100,1322,NR,124 AVENUE RD,,,ON
***65675,20240118,9,STOP-SIGNED HWY-PROHIBIT TM/DY,100,1322,NR,15 ROEHAMPTON AVE,,,ON
***71841,20240118,9,STOP-SIGNED HWY-PROHIBIT TM/DY,100,1322,NR,800 BATHURST ST,,,ON
***81692,20240118,4,PARK ON MUNICIPAL PROPERTY,75,1323,AT,31 A PARLIAMENT STREET,,,ON
***85541,20240118,312,PARKING MACH-NOT USED/NO FEE,75,1323,AT,2760 OLD LESLIE STREET,,,ON
***50267,20240118,207,PARK MACHINE-REQD FEE NOT PAID,30,1323,NR,28 TED ROGERS WAY,,,ON
***36040,20240118,9,STOP-SIGNED HWY-PROHIBIT TM/DY,100,1323,NR,30 HANNA AVE,,,ON
***15398,20240118,3,PARK ON PRIVATE PROPERTY,75,1323,AT,1401 DUPONT ST,,,ON
***25575,20240118,134,PARK-SIGNED HWY-PUBLIC LANE,40,1323,R/O,33 ELM ST,,,ON
***34068,20240118,15,PARK-WITHIN 3M OF FIRE HYDRANT,100,1323,NR,158 FRONT ST E,,,ON
***34562,20240118,207,PARK MACHINE-REQD FEE NOT PAID,30,1323,NR,227 FRONT ST E,,,ON
***52785,20240118,337,PARK - ON BOULEVARD,50,1323,NR,163 SPADINA AVE,,,ON
***85542,20240118,312,PARKING MACH-NOT USED/NO FEE,75,1324,AT,2760 OLD LESLIE STREET,,,ON
***36041,20240118,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,1324,NR,30 HANNA AVE,,,ON
***30601,20240118,3,PARK ON PRIVATE PROPERTY,75,1324,AT,199 ROEHAMPTON AVE,,,ON
***55614,20240118,434,PARK UNAUTH VEH ELEC CHG STN,60,1324,NR,916 KINGSTON RD,,,ON
***59019,20240118,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,1324,OPP,10 CASTLE KNOCK RD,,,ON
***70705,20240118,207,PARK MACHINE-REQD FEE NOT PAID,30,1324,NR,213 CARLTON ST,,,AZ
***11042,20240118,3,PARK ON PRIVATE PROPERTY,75,1325,,201 VAN HORNE AVE,,,ON
***81693,20240118,4,PARK ON MUNICIPAL PROPERTY,75,1325,AT,31 A PARLIAMENT STREET,,,ON
***36042,20240118,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,1325,NR,30 HANNA AVE,,,ON
***52786,20240118,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,1325,NR,163 SPADINA AVE,,,ON
***65676,20240118,9,STOP-SIGNED HWY-PROHIBIT TM/DY,100,1325,NR,40 ORCHARD VIEW BLVD,,,ON
***88814,20240118,207,PARK MACHINE-REQD FEE NOT PAID,30,1325,OPP,33 BEECROFT RD,,,ON
***06396,20240118,3,PARK ON PRIVATE PROPERTY,75,1326,,90 WELLESLEY ST W,,,ON
***81694,20240118,4,PARK ON MUNICIPAL PROPERTY,75,1326,AT,31 A PARLIAMENT STREET,,,ON
***71643,20240118,3,PARK ON PRIVATE PROPERTY,75,1326,AT,265 YORKLAND BLVD,,,ON
***03017,20240118,207,PARK MACHINE-REQD FEE NOT PAID,30,1326,NR,188 SPADINA AVE,,,ON
***33965,20240118,29,PARK PROHIBITED TIME NO PERMIT,30,1326,NR,188 LOWTHER AVE,,,ON
***34069,20240118,3,PARK ON PRIVATE PROPERTY,75,1326,AT,158 FRONT ST E,,,ON
***55615,20240118,434,PARK UNAUTH VEH ELEC CHG STN,60,1326,NR,916 KINGSTON RD,,,ON
***59020,20240118,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,1326,NR,424 EGLINTON AVE W,,,ON
***65677,20240118,9,STOP-SIGNED HWY-PROHIBIT TM/DY,100,1326,NR,40 ORCHARD VIEW BLVD,,,ON
***88815,20240118,207,PARK MACHINE-REQD FEE NOT PAID,30,1326,OPP,33 BEECROFT RD,,,ON
